Factory,Keyword,Reject_Category,Creation_type,Created_by,Timestamp
TX,excess paint in,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,adhesion,Adhesion,CSV Upload,sd13519,2/4/2019 14:35
TX,peel,Adhesion,CSV Upload,sd13519,2/4/2019 14:35
TX,sticky,Adhesion,CSV Upload,sd13519,2/4/2019 14:35
TX,tacky,Adhesion,CSV Upload,sd13519,2/4/2019 14:35
TX,wiping off,Adhesion,CSV Upload,sd13519,2/4/2019 14:35
TX,sticking,Adhesion,CSV Upload,sd13519,2/4/2019 14:35
TX,orange peel,Orange Peel,CSV Upload,sd13519,2/4/2019 14:35
TX,tank,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,cooling package,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,fuse box,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,filter box,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,fuel tank,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,supp,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,light paint,Light Paint,CSV Upload,sd13519,2/4/2019 14:35
TX,light on paint,Light Paint,CSV Upload,sd13519,2/4/2019 14:35
TX,lite paint,Light Paint,CSV Upload,sd13519,2/4/2019 14:35
TX,weld,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,splatter,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,weld reclaim,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,debris,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,dirt in,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,unsmooth,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,not smooth,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,rough,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,pitted,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,contamination,Fabrication,CSV Upload,sd13519,2/4/2019 14:35
TX,MJD,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,Parker,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,scratch,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,scratched,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,Rub,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,Rubbing,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,rubing,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,scuff,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,scuffed,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,gouge,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,chip,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,set on cart,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,damage,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,damaging,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,scraped,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,scrached,Handling,CSV Upload,sd13519,2/4/2019 14:35
TX,plug,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint ring,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint cap,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,threads,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,no paint,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,overspray,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,over spray,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,boss painted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,bosses painted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,"isn""t painted",Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,isnt painted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,are painted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,bare,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,painted over,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,remove paint,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint getting in,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint in,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint on,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,is painted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,not painted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,Touch up,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,touched up,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint in it,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint on,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,painted on,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,unpainted,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,not masked,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,masked,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,no primer,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,missing paint,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,masking,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,coverage,Light Paint,CSV Upload,sd13519,2/4/2019 14:35
TX,thin,Light Paint,CSV Upload,sd13519,2/4/2019 14:35
TX,needs paint,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,need paint,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,paint missing,Masking / Touch Up,CSV Upload,sd13519,2/4/2019 14:35
TX,run,Runs/Sags,CSV Upload,sd13519,2/4/2019 14:35
TX,drip,Runs/Sags,CSV Upload,sd13519,2/4/2019 14:35
TX,sag,Runs/Sags,CSV Upload,sd13519,2/4/2019 14:35
TX,cab,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,quick tatch,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,lower link,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,turbo,Supplier,CSV Upload,sd13519,2/4/2019 14:35
TX,TEST1,Fabrication,MANUAL,sd13519,2019-02-27 18:59:05
TX,TEST2,Handling,MANUAL,sd13519,2019-02-27 18:59:05
